assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
197073171,22695225,Gyps coprotheres,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Gyps,coprotheres,,,,"(Forster, 1798)",Vulnerable,A2acde+3cde+4acde; C2a(ii),3.1,Decreasing,Global
197193663,22736369,Icterus northropi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,ICTERIDAE,Icterus,northropi,,,,"Allen, 1890",Endangered,C2a(ii),3.1,Decreasing,Global
197246585,172568,Rhampholeon chapmanorum,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,CHAMAELEONIDAE,Rhampholeon,chapmanorum,,,,"Tilbury, 1992",Critically Endangered,"B1ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
197248077,47102972,Marisora aurulae,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SCINCIDAE,Marisora,aurulae,,,,"Hedges &amp; Conn, 2012",Vulnerable,B1ab(v),3.1,Decreasing,Global
197308408,136653,Thylamys karimii,ANIMALIA,CHORDATA,DIDELPHIMORPHIA,MAMMALIA,DIDELPHIDAE,Thylamys,karimii,,,,"(Petter, 1968)",Vulnerable,A2c+3c,3.1,Decreasing,Global
197316167,62144610,Neomorphus geoffroyi,ANIMALIA,CHORDATA,CUCULIFORMES,AVES,CUCULIDAE,Neomorphus,geoffroyi,,,,"(Temminck, 1820)",Vulnerable,A3c+4c,3.1,Decreasing,Global
197393805,15568,Oryx dammah,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BOVIDAE,Oryx,dammah,,,,"(Cretzschmar, 1826)",Endangered,D,3.1,Increasing,Global
197397165,3009,Bradypodion nemorale,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,CHAMAELEONIDAE,Bradypodion,nemorale,,,,"Raw, 1978",Vulnerable,D2,3.1,Stable,Global
197397461,3017,Bradypodion thamnobates,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,CHAMAELEONIDAE,Bradypodion,thamnobates,,,,"Raw, 1976",Endangered,"B1ab(ii,iii,v)",3.1,Decreasing,Global
197397987,5336,Smaug giganteus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,CORDYLIDAE,Smaug,giganteus,,,,"(A. Smith, 1844)",Vulnerable,A2bcd+4bcd,3.1,Decreasing,Global
197400102,12439,Lygodactylus methueni,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,GEKKONIDAE,Lygodactylus,methueni,,,,"FitzSimons, 1937",Endangered,"B1ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
197401415,19953,Scelotes bourquini,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SCINCIDAE,Scelotes,bourquini,,,,"Broadley, 1994",Vulnerable,"B1ab(i,iii,v)",3.1,Decreasing,Global
197401561,19954,Scelotes kasneri,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SCINCIDAE,Scelotes,kasneri,,,,"FitzSimons, 1939",Endangered,"B1ab(i,iii,iv)",3.1,Decreasing,Global
197402954,41230,Acontias rieppeli,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SCINCIDAE,Acontias,rieppeli,,,,"Lamb, Biswas &amp; Bauer, 2010",Endangered,"B1ab(i,ii,iii,v)",3.1,Decreasing,Global
197405541,172551,Bradypodion caeruleogula,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,CHAMAELEONIDAE,Bradypodion,caeruleogula,,,,"Raw &amp; Brothers, 2008",Endangered,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)",3.1,Decreasing,Global
197406830,176290,Bradypodion caffer,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,CHAMAELEONIDAE,Bradypodion,caffer,,,,"(Boettger, 1889)",Endangered,"B1ab(ii,iii,iv)+2ab(ii,iii,iv)",3.1,Decreasing,Global
197408167,178207,Scelotes inornatus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SCINCIDAE,Scelotes,inornatus,,,,"(A. Smith, 1849)",Critically Endangered,"B1ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
197414561,22473767,Bitis albanica,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,VIPERIDAE,Bitis,albanica,,,,"Hewitt, 1937",Endangered,"B1ab(i,iii,iv,v)",3.1,Decreasing,Global
