internalTaxonId,scientificName,name,language,main
10980,Kerivoula myrella,Manus Island Woolly Bat,English,true
14876,Notopteris macdonaldii,Long-tailed Blossom Bat,English,false
14876,Notopteris macdonaldii,Long-tailed Fruit Bat,English,false
14876,Notopteris macdonaldii,Fijian Blossom Bat,English,true
12945,Megaerops kusnotoi,Javan Tailless Fruit Bat,English,true
7083,Eidolon dupreanum,Angavo,Malagasy,false
7083,Eidolon dupreanum,Angavo vato,Malagasy,false
7083,Eidolon dupreanum,Fanihy,Malagasy,false
7083,Eidolon dupreanum,Fanihy mavoloha,Malagasy,false
7083,Eidolon dupreanum,Fanihy vato,Malagasy,false
7083,Eidolon dupreanum,Madagascan Fruit Bat,English,true
2532,Balantiopteryx io,Thomas-Sackflügelfledermaus,German,false
2532,Balantiopteryx io,Thomas's Sac-winged Bat,English,true
136777,Natalus primus,Cuban Greater Funnel-eared Bat,English,true
6774,Dobsonia emersa,Biak Naked-backed Fruit Bat,English,false
6774,Dobsonia emersa,Biak Bare-backed Fruit Bat,English,true
6773,Dobsonia chapmani,Philippine Bare-backed Fruit Bat,English,false
6773,Dobsonia chapmani,Negros Naked-backed Fruit Bat,English,true
136739,Hipposideros inornatus,Arnhem Leaf-nosed Bat,English,true
136768,Eonycteris robusta,Philippine Nectar Bat,English,false
136768,Eonycteris robusta,Philippine Dawn Bat,English,true
136754,Lasiurus insularis,Cuban Yellow Bat,English,true
4665,Chiroderma improvisum,Guadeloupe Big-eyed Bat,English,false
4665,Chiroderma improvisum,Guadeloupe-Großaugenfledermaus,German,false
4665,Chiroderma improvisum,Guadeloupean Big-eyed Bat,English,true
136685,Pteropus rennelli,Rennell Flying Fox,English,true
12264,Lonchophylla dekeyseri,Dekeyser's Nectar Bat,English,true
12263,Lonchophylla bokermanni,Bokermann's Nectar Bat,English,true
12272,Lonchorhina marinkellei,Marinkelle's Sword-nosed Bat,English,true
12271,Lonchorhina fernandezi,Fernandez's Sword-nosed Bat,English,true
88088852,Chilonatalus micropus,Cuban Funnel-eared Bat,English,false
88088852,Chilonatalus micropus,Kleines Kuba-Trichterohr,German,false
88088852,Chilonatalus micropus,Cuban Lesser Funnel-eared Bat,English,true
4775,Choeroniscus periosus,Große Langschwanz-Blumenfledermaus,German,false
4775,Choeroniscus periosus,Greater Long-tailed Bat,English,true
136807,Nyctophilus nebulosus,New Caledonia Long-eared Bat,English,true
136824,Natalus jamaicensis,Jamaican Greater Funnel-eared Bat,English,true
136820,Neoromicia malagasyensis,Sérotine de Sakahara,French,false
136820,Neoromicia malagasyensis,Isalo Serotine,English,true
14097,Myonycteris brachycephala,Sao Tomé Collared Fruit Bat,English,true
20958,Sturnira nana,Lesser Yellow-shouldered Bat,English,true
14143,Myotis atacamensis,Atacaman Myotis,English,false
14143,Myotis atacamensis,Atacama Myotis,English,true
14132,Myotis grisescens,Gray Myotis,English,false
14132,Myotis grisescens,Grey Bat,English,true
